algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,base_seed,global_best,elapsed_sec
SERIAL,1,1000,0,0,0,12345,444429,2.656
SERIAL,1,1000,0,0,0,22345,436284,2.48
SERIAL,1,1000,0,0,0,32345,437724,2.597
SERIAL,1,1000,0,0,0,42345,430142,2.674
SERIAL,1,1000,0,0,0,52345,433636,2.657
SERIAL,1,1000,0,0,0,62345,438989,2.583
SERIAL,1,1000,0,0,0,72345,444217,2.705
SERIAL,1,1000,0,0,0,82345,439725,2.624
SERIAL,1,1000,0,0,0,92345,443017,2.607
SERIAL,1,1000,0,0,0,102345,436558,2.552
DEA,2,1000,100,0,0,12345,431098,2.667054
DEA,2,1000,100,0,0,22345,428526,2.724634
DEA,2,1000,100,0,0,32345,415765,2.616492
DEA,2,1000,100,0,0,42345,430829,2.607698
DEA,2,1000,100,0,0,52345,427366,2.688222
DEA,2,1000,100,0,0,62345,431914,2.689983
DEA,2,1000,100,0,0,72345,430269,2.763793
DEA,2,1000,100,0,0,82345,436875,2.709795
DEA,2,1000,100,0,0,92345,438572,2.786115
DEA,2,1000,100,0,0,102345,431022,2.765927
DEA,4,1000,100,0,0,12345,424318,2.898406
DEA,4,1000,100,0,0,22345,433233,2.747879
DEA,4,1000,100,0,0,32345,433140,2.778653
DEA,4,1000,100,0,0,42345,427478,2.690711
DEA,4,1000,100,0,0,52345,433259,2.761917
DEA,4,1000,100,0,0,62345,430278,2.747629
DEA,4,1000,100,0,0,72345,434823,2.802987
DEA,4,1000,100,0,0,82345,432879,2.770085
DEA,4,1000,100,0,0,92345,427643,2.772751
DEA,4,1000,100,0,0,102345,427529,2.777229
HDEA,4,1000,100,5,2,12345,427846,3.461918
HDEA,4,1000,100,5,2,22345,436593,3.470184
HDEA,4,1000,100,5,2,32345,427169,3.507198
HDEA,4,1000,100,5,2,42345,429593,3.384186
HDEA,4,1000,100,5,2,52345,436163,3.468163
HDEA,4,1000,100,5,2,62345,429106,3.460039
HDEA,4,1000,100,5,2,72345,438677,3.476047
HDEA,4,1000,100,5,2,82345,432190,3.500699
HDEA,4,1000,100,5,2,92345,431668,3.459169
HDEA,4,1000,100,5,2,102345,426732,3.386229
HDEA,6,1000,100,5,3,12345,427846,3.494996
HDEA,6,1000,100,5,3,22345,426245,3.465299
HDEA,6,1000,100,5,3,32345,433564,3.456487
HDEA,6,1000,100,5,3,42345,428439,3.394741
HDEA,6,1000,100,5,3,52345,429108,3.524728
HDEA,6,1000,100,5,3,62345,430441,3.381946
HDEA,6,1000,100,5,3,72345,429493,3.498529
HDEA,6,1000,100,5,3,82345,432862,3.458695
HDEA,6,1000,100,5,3,92345,432958,3.491381
HDEA,6,1000,100,5,3,102345,432253,3.421419
