section,metric,a,b,value
summary,count,DEA n=2,,10
summary,best,DEA n=2,,415765.0
summary,mean,DEA n=2,,430223.6
summary,std,DEA n=2,,6134.273319273894
summary,min,DEA n=2,,415765.0
summary,max,DEA n=2,,438572.0
summary,avg_time,DEA n=2,,3.4845359
summary,count,DEA n=4,,10
summary,best,DEA n=4,,424318.0
summary,mean,DEA n=4,,430458.0
summary,std,DEA n=4,,3508.2360556584877
summary,min,DEA n=4,,424318.0
summary,max,DEA n=4,,434823.0
summary,avg_time,DEA n=4,,3.6289901
summary,count,SERIAL n=1,,10
summary,best,SERIAL n=1,,430142.0
summary,mean,SERIAL n=1,,438472.1
summary,std,SERIAL n=1,,4628.069394706849
summary,min,SERIAL n=1,,430142.0
summary,max,SERIAL n=1,,444429.0
summary,avg_time,SERIAL n=1,,3.3147
ttest,p_value,SERIAL n=1 vs DEA n=2,ok,0.003511520303326782
ttest,t_stat,SERIAL n=1 vs DEA n=2,ok,3.394463544706974
ttest,p_value,SERIAL n=1 vs DEA n=4,ok,0.00043504839969783283
ttest,t_stat,SERIAL n=1 vs DEA n=4,ok,4.363827077900689
ttest,p_value,DEA n=2 vs DEA n=4,ok,0.9179159990780105
ttest,t_stat,DEA n=2 vs DEA n=4,ok,-0.10489293933146557
ttest,p_value,SERIAL n=1 vs DEA n=1,missing group,nan
ttest,t_stat,SERIAL n=1 vs DEA n=1,missing group,nan
