algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,base_seed,global_best,elapsed_sec
SERIAL,1,1000,0,0,0,12345,444429,2.774
SERIAL,1,1000,0,0,0,22345,436284,2.775
SERIAL,1,1000,0,0,0,32345,437724,2.592
DEA,4,1000,100,0,0,12345,424318,2.856764
DEA,4,1000,100,0,0,22345,433233,2.866416
DEA,4,1000,100,0,0,32345,433140,2.884189
HDEA,4,1000,100,5,2,12345,427846,3.431566
HDEA,4,1000,100,5,2,22345,436593,3.502624
HDEA,4,1000,100,5,2,32345,427169,3.354133
MOVING_HDEA,4,1000,100,5,2,12345,427653,3.972411
MOVING_HDEA,4,1000,100,5,2,22345,430930,3.964635
MOVING_HDEA,4,1000,100,5,2,32345,433791,3.983115
SERIAL,1,3000,0,0,0,12345,266568,4.964
SERIAL,1,3000,0,0,0,22345,268894,5.47
SERIAL,1,3000,0,0,0,32345,263588,5.352
DEA,4,3000,100,0,0,12345,267529,5.853352
DEA,4,3000,100,0,0,22345,260059,5.731984
DEA,4,3000,100,0,0,32345,259273,5.38993
HDEA,4,3000,100,5,2,12345,246525,6.429895
HDEA,4,3000,100,5,2,22345,252604,6.313137
HDEA,4,3000,100,5,2,32345,253822,6.347023
MOVING_HDEA,4,3000,100,5,2,12345,263888,7.085646
MOVING_HDEA,4,3000,100,5,2,22345,249857,7.396695
MOVING_HDEA,4,3000,100,5,2,32345,258078,7.815426
SERIAL,1,5000,0,0,0,12345,174815,6.045
SERIAL,1,5000,0,0,0,22345,172929,6.297
SERIAL,1,5000,0,0,0,32345,168654,5.59
DEA,4,5000,100,0,0,12345,164736,6.778273
DEA,4,5000,100,0,0,22345,162641,6.398641
DEA,4,5000,100,0,0,32345,161483,6.501241
HDEA,4,5000,100,5,2,12345,153778,7.866311
HDEA,4,5000,100,5,2,22345,157195,7.90745
HDEA,4,5000,100,5,2,32345,158580,8.044346
MOVING_HDEA,4,5000,100,5,2,12345,159960,9.360214
MOVING_HDEA,4,5000,100,5,2,22345,153478,9.531506
MOVING_HDEA,4,5000,100,5,2,32345,161546,8.81876
