algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,local_colony_size,total_colony_size,base_seed,global_best,elapsed_sec
SERIAL,1,1000,0,0,0,100,100,12345,444429,4.088076
SERIAL,1,1000,0,0,0,100,100,22345,436284,3.850473
SERIAL,1,1000,0,0,0,100,100,32345,437724,3.911347
SERIAL,1,1000,0,0,0,100,100,42345,430142,3.788632
SERIAL,1,1000,0,0,0,100,100,52345,433636,3.972885
SERIAL,1,1000,0,0,0,100,100,62345,438989,3.635773
SERIAL,1,1000,0,0,0,100,100,72345,444217,4.100802
SERIAL,1,1000,0,0,0,100,100,82345,439725,3.68842
SERIAL,1,1000,0,0,0,100,100,92345,443017,4.083034
SERIAL,1,1000,0,0,0,100,100,102345,436558,3.6936
DEA,2,1000,100,0,0,50,100,12345,405701,1.028234
DEA,2,1000,100,0,0,50,100,22345,399756,0.966976
DEA,2,1000,100,0,0,50,100,32345,404180,1.002787
DEA,2,1000,100,0,0,50,100,42345,402319,1.000907
DEA,2,1000,100,0,0,50,100,52345,400301,0.977345
DEA,2,1000,100,0,0,50,100,62345,411414,0.991063
DEA,2,1000,100,0,0,50,100,72345,406474,1.010351
DEA,2,1000,100,0,0,50,100,82345,398962,1.026546
DEA,2,1000,100,0,0,50,100,92345,401671,0.953409
DEA,2,1000,100,0,0,50,100,102345,402192,0.95589
DEA,4,1000,100,0,0,25,100,12345,386549,0.342451
DEA,4,1000,100,0,0,25,100,22345,378829,0.340572
DEA,4,1000,100,0,0,25,100,32345,386903,0.319783
DEA,4,1000,100,0,0,25,100,42345,381110,0.336226
DEA,4,1000,100,0,0,25,100,52345,376486,0.326418
DEA,4,1000,100,0,0,25,100,62345,388208,0.312775
DEA,4,1000,100,0,0,25,100,72345,380393,0.341961
DEA,4,1000,100,0,0,25,100,82345,376484,0.314908
DEA,4,1000,100,0,0,25,100,92345,383476,0.365209
DEA,4,1000,100,0,0,25,100,102345,385416,0.340793
