algorithm,nproc,maxGen,migration_interval,base_seed,global_best,elapsed_sec
SERIAL,1,1000,0,12345,444429,3.628000
SERIAL,1,1000,0,22345,436284,3.438000
SERIAL,1,1000,0,32345,437724,3.087000
SERIAL,1,1000,0,42345,430142,3.273000
SERIAL,1,1000,0,52345,433636,3.289000
SERIAL,1,1000,0,62345,438989,3.256000
SERIAL,1,1000,0,72345,444217,3.363000
SERIAL,1,1000,0,82345,439725,3.419000
SERIAL,1,1000,0,92345,443017,3.607000
SERIAL,1,1000,0,102345,436558,2.787000
DEA,2,1000,100,12345,431098,3.062992
DEA,2,1000,100,22345,428526,3.496409
DEA,2,1000,100,32345,415765,3.611809
DEA,2,1000,100,42345,430829,3.484604
DEA,2,1000,100,52345,427366,3.479089
DEA,2,1000,100,62345,431914,3.568592
DEA,2,1000,100,72345,430269,3.558199
DEA,2,1000,100,82345,436875,3.558974
DEA,2,1000,100,92345,438572,3.456076
DEA,2,1000,100,102345,431022,3.568615
DEA,4,1000,100,12345,424318,3.672733
DEA,4,1000,100,22345,433233,3.592006
DEA,4,1000,100,32345,433140,3.550362
DEA,4,1000,100,42345,427478,3.667103
DEA,4,1000,100,52345,433259,3.470579
DEA,4,1000,100,62345,430278,3.606787
DEA,4,1000,100,72345,434823,3.757626
DEA,4,1000,100,82345,432879,3.724436
DEA,4,1000,100,92345,427643,3.631984
DEA,4,1000,100,102345,427529,3.616285
