algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,base_seed,global_best,elapsed_sec
SERIAL,1,1000,0,0,0,12345,444429,2.92
SERIAL,1,1000,0,0,0,22345,436284,2.893
SERIAL,1,1000,0,0,0,32345,437724,2.837
SERIAL,1,1000,0,0,0,42345,430142,2.805
SERIAL,1,1000,0,0,0,52345,433636,2.814
SERIAL,1,1000,0,0,0,62345,438989,2.87
SERIAL,1,1000,0,0,0,72345,444217,2.92
SERIAL,1,1000,0,0,0,82345,439725,2.741
SERIAL,1,1000,0,0,0,92345,443017,2.855
SERIAL,1,1000,0,0,0,102345,436558,3.034
DEA,2,1000,100,0,0,12345,431098,3.824697
DEA,2,1000,100,0,0,22345,428526,3.444775
DEA,2,1000,100,0,0,32345,415765,3.51271
DEA,2,1000,100,0,0,42345,430829,3.448481
DEA,2,1000,100,0,0,52345,427366,3.505267
DEA,2,1000,100,0,0,62345,431914,3.57212
DEA,2,1000,100,0,0,72345,430269,3.558139
DEA,2,1000,100,0,0,82345,436875,3.660321
DEA,2,1000,100,0,0,92345,438572,3.601352
DEA,2,1000,100,0,0,102345,431022,3.499421
DEA,4,1000,100,0,0,12345,424318,3.609309
DEA,4,1000,100,0,0,22345,433233,3.670992
DEA,4,1000,100,0,0,32345,433140,3.641172
DEA,4,1000,100,0,0,42345,427478,3.684029
DEA,4,1000,100,0,0,52345,433259,3.495841
DEA,4,1000,100,0,0,62345,430278,3.521751
DEA,4,1000,100,0,0,72345,434823,3.539598
DEA,4,1000,100,0,0,82345,432879,3.64203
DEA,4,1000,100,0,0,92345,427643,3.554283
DEA,4,1000,100,0,0,102345,427529,3.587402
HDEA,4,1000,100,5,2,12345,427846,4.39381
HDEA,4,1000,100,5,2,22345,436593,4.568462
HDEA,4,1000,100,5,2,32345,427169,4.442081
HDEA,4,1000,100,5,2,42345,429593,4.373196
HDEA,4,1000,100,5,2,52345,436163,4.485476
HDEA,4,1000,100,5,2,62345,429106,4.413586
HDEA,4,1000,100,5,2,72345,438677,4.488806
HDEA,4,1000,100,5,2,82345,432190,4.484887
HDEA,4,1000,100,5,2,92345,431668,4.495692
HDEA,4,1000,100,5,2,102345,426732,4.514299
HDEA,6,1000,100,5,3,12345,427846,4.606552
HDEA,6,1000,100,5,3,22345,426245,4.58626
HDEA,6,1000,100,5,3,32345,433564,4.457746
HDEA,6,1000,100,5,3,42345,428439,4.676336
HDEA,6,1000,100,5,3,52345,429108,4.62993
HDEA,6,1000,100,5,3,62345,430441,4.698884
HDEA,6,1000,100,5,3,72345,429493,4.496994
HDEA,6,1000,100,5,3,82345,432862,4.66178
HDEA,6,1000,100,5,3,92345,432958,4.610142
HDEA,6,1000,100,5,3,102345,432253,4.544291
MOVING_HDEA,4,1000,100,5,2,12345,427653,4.94208
MOVING_HDEA,4,1000,100,5,2,22345,430930,4.930213
MOVING_HDEA,4,1000,100,5,2,32345,433791,5.152917
MOVING_HDEA,4,1000,100,5,2,42345,424632,5.135054
MOVING_HDEA,4,1000,100,5,2,52345,427340,5.100783
MOVING_HDEA,4,1000,100,5,2,62345,435465,5.137263
MOVING_HDEA,4,1000,100,5,2,72345,428292,5.027813
MOVING_HDEA,4,1000,100,5,2,82345,433889,5.090959
MOVING_HDEA,4,1000,100,5,2,92345,425250,5.006222
MOVING_HDEA,4,1000,100,5,2,102345,429798,5.244139
MOVING_HDEA,6,1000,100,5,3,12345,427210,5.048512
MOVING_HDEA,6,1000,100,5,3,22345,430930,4.948451
MOVING_HDEA,6,1000,100,5,3,32345,428959,5.030561
MOVING_HDEA,6,1000,100,5,3,42345,424632,5.087146
MOVING_HDEA,6,1000,100,5,3,52345,430900,5.162391
MOVING_HDEA,6,1000,100,5,3,62345,425272,5.071279
MOVING_HDEA,6,1000,100,5,3,72345,423208,4.576275
MOVING_HDEA,6,1000,100,5,3,82345,433889,4.962477
MOVING_HDEA,6,1000,100,5,3,92345,425250,4.608342
MOVING_HDEA,6,1000,100,5,3,102345,428656,4.431428
