comparison,left_label,right_label,paired_count,paired_seeds,left_mean,right_mean,mean_diff,ci95_low,ci95_high,paired_t_p_value,wilcoxon_p_value,holm_adjusted_p_value,cohens_dz,welch_p_value_sensitivity,direction
SERIAL n=1 vs DEA n=2,SERIAL n=1,DEA n=2,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,438472.100000,430223.600000,8248.500000,3584.106596,12912.893404,0.003109,0.003906,0.052846,1.265035,0.003512,right_lower_is_better
SERIAL n=1 vs DEA n=4,SERIAL n=1,DEA n=4,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,438472.100000,430458.000000,8014.100000,3691.372079,12336.827921,0.002328,0.001953,0.041896,1.326232,0.000435,right_lower_is_better
SERIAL n=1 vs HDEA n=4 groups=2,SERIAL n=1,HDEA n=4 groups=2,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,438472.100000,431573.700000,6898.400000,2581.169277,11215.630723,0.005618,0.013672,0.089895,1.143052,0.002782,right_lower_is_better
SERIAL n=1 vs HDEA n=6 groups=3,SERIAL n=1,HDEA n=6 groups=3,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,438472.100000,430320.900000,8151.200000,4706.021009,11596.378991,0.000461,0.001953,0.009681,1.692515,0.000242,right_lower_is_better
SERIAL n=1 vs MOVING_HDEA n=4 groups=2,SERIAL n=1,MOVING_HDEA n=4 groups=2,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,438472.100000,429704.000000,8768.100000,4719.892615,12816.307385,0.000848,0.001953,0.016113,1.549407,0.000218,right_lower_is_better
SERIAL n=1 vs MOVING_HDEA n=6 groups=3,SERIAL n=1,MOVING_HDEA n=6 groups=3,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,438472.100000,427890.600000,10581.500000,6045.576634,15117.423366,0.000509,0.001953,0.010180,1.668800,0.000022,right_lower_is_better
DEA n=2 vs DEA n=4,DEA n=2,DEA n=4,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430223.600000,430458.000000,-234.400000,-6008.933029,5540.133029,0.928848,1.000000,1.000000,-0.029038,0.917916,left_lower_or_tie
DEA n=2 vs HDEA n=4 groups=2,DEA n=2,HDEA n=4 groups=2,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430223.600000,431573.700000,-1350.100000,-6311.903847,3611.703847,0.553450,0.556641,1.000000,-0.194648,0.575665,left_lower_or_tie
DEA n=2 vs HDEA n=6 groups=3,DEA n=2,HDEA n=6 groups=3,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430223.600000,430320.900000,-97.300000,-4825.294386,4630.694386,0.963885,0.275391,1.000000,-0.014722,0.963716,left_lower_or_tie
DEA n=2 vs MOVING_HDEA n=4 groups=2,DEA n=2,MOVING_HDEA n=4 groups=2,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430223.600000,429704.000000,519.600000,-5236.421976,6275.621976,0.842735,0.556641,1.000000,0.064576,0.822282,right_lower_is_better
DEA n=2 vs MOVING_HDEA n=6 groups=3,DEA n=2,MOVING_HDEA n=6 groups=3,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430223.600000,427890.600000,2333.000000,-2877.082899,7543.082899,0.337535,0.232422,1.000000,0.320327,0.310021,right_lower_is_better
DEA n=4 vs HDEA n=4 groups=2,DEA n=4,HDEA n=4 groups=2,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430458.000000,431573.700000,-1115.700000,-3420.008790,1188.608790,0.301833,0.275391,1.000000,-0.346361,0.531355,left_lower_or_tie
DEA n=4 vs HDEA n=6 groups=3,DEA n=4,HDEA n=6 groups=3,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430458.000000,430320.900000,137.100000,-2864.238994,3138.438994,0.919963,0.921875,1.000000,0.032677,0.921034,right_lower_is_better
DEA n=4 vs MOVING_HDEA n=4 groups=2,DEA n=4,MOVING_HDEA n=4 groups=2,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430458.000000,429704.000000,754.000000,-2024.279309,3532.279309,0.554461,0.556641,1.000000,0.194141,0.647810,right_lower_is_better
DEA n=4 vs MOVING_HDEA n=6 groups=3,DEA n=4,MOVING_HDEA n=6 groups=3,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,430458.000000,427890.600000,2567.400000,-322.523285,5457.323285,0.075365,0.083984,1.000000,0.635521,0.112945,right_lower_is_better
HDEA n=4 groups=2 vs HDEA n=6 groups=3,HDEA n=4 groups=2,HDEA n=6 groups=3,10,12345;22345;32345;42345;52345;62345;72345;82345;92345;102345,431573.700000,430320.900000,1252.800000,-2891.827514,5397.427514,0.511331,0.734375,1.000000,0.216232,0.435846,right_lower_is_better
