algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,local_colony_size,total_colony_size,base_seed,global_best,elapsed_sec,migration_comm_sec,final_collective_comm_sec,mpi_comm_sec,computation_sec,comm_ratio
SERIAL,1,1000,0,0,0,400,400,12345,480625,25.388976,0,0,0,25.388976,0
SERIAL,1,1000,0,0,0,400,400,22345,479297,27.574537,0,0,0,27.574537,0
SERIAL,1,1000,0,0,0,400,400,32345,481326,25.703385,0,0,0,25.703385,0
SERIAL,1,1000,0,0,0,400,400,42345,482874,26.426392,0,0,0,26.426392,0
SERIAL,1,1000,0,0,0,400,400,52345,481039,25.525147,0,0,0,25.525147,0
DEA,2,1000,100,0,0,200,400,12345,462301,10.057584,0.098537,0.000737,0.099274,9.95831,0.009871
DEA,2,1000,100,0,0,200,400,22345,459513,9.137587,0.098054,0.000038,0.098092,9.039495,0.010735
DEA,2,1000,100,0,0,200,400,32345,457343,10.438816,0.418761,0.000084,0.418846,10.019971,0.040124
DEA,2,1000,100,0,0,200,400,42345,458139,10.392306,0.130028,0.000114,0.130142,10.262164,0.012523
DEA,2,1000,100,0,0,200,400,52345,456853,9.912413,0.122707,0.000044,0.122752,9.789662,0.012384
DEA,4,1000,100,0,0,100,400,12345,424318,3.595279,0.133454,0.02139,0.154843,3.440435,0.043069
DEA,4,1000,100,0,0,100,400,22345,433233,3.450581,0.095839,0.002246,0.098085,3.352496,0.028426
DEA,4,1000,100,0,0,100,400,32345,433140,3.616175,0.061497,0.010875,0.072372,3.543803,0.020013
DEA,4,1000,100,0,0,100,400,42345,427478,3.193946,0.117242,0.002843,0.120086,3.07386,0.037598
DEA,4,1000,100,0,0,100,400,52345,433259,3.27214,0.115853,0.001243,0.117095,3.155044,0.035786
