algorithm,nproc,maxGen,migration_interval,base_seed,global_best,elapsed_sec
SERIAL,1,100,0,12345,619697,0.498000
SERIAL,1,100,0,22345,622199,0.536000
SERIAL,1,100,0,32345,623074,0.539000
DEA,1,100,20,12345,619697,0.559834
DEA,1,100,20,22345,622199,0.559722
DEA,1,100,20,32345,623074,0.541351
DEA,2,100,20,12345,615968,0.593048
DEA,2,100,20,22345,614455,0.552848
DEA,2,100,20,32345,623085,0.561071
DEA,4,100,20,12345,617546,0.587130
DEA,4,100,20,22345,620770,0.571648
DEA,4,100,20,32345,605646,0.585918
