algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,base_seed,global_best,elapsed_sec
SERIAL,1,5000,0,0,0,12345,174815,5.761
SERIAL,1,5000,0,0,0,22345,172929,5.896
SERIAL,1,5000,0,0,0,32345,168654,5.591
SERIAL,1,5000,0,0,0,42345,169747,5.592
SERIAL,1,5000,0,0,0,52345,171648,5.765
DEA,4,5000,25,0,0,12345,109393,4.544355
DEA,4,5000,25,0,0,22345,107560,4.762979
DEA,4,5000,25,0,0,32345,109197,4.742297
DEA,4,5000,25,0,0,42345,115611,5.317341
DEA,4,5000,25,0,0,52345,109869,4.882828
HDEA,4,5000,25,20,2,12345,109834,5.310023
HDEA,4,5000,25,20,2,22345,105728,4.98495
HDEA,4,5000,25,20,2,32345,107669,5.198025
HDEA,4,5000,25,20,2,42345,107695,5.049673
HDEA,4,5000,25,20,2,52345,108538,4.966268
MOVING_HDEA,4,5000,25,20,2,12345,115127,5.690141
MOVING_HDEA,4,5000,25,20,2,22345,108204,5.092955
MOVING_HDEA,4,5000,25,20,2,32345,107562,5.447458
MOVING_HDEA,4,5000,25,20,2,42345,114573,5.52337
MOVING_HDEA,4,5000,25,20,2,52345,106838,5.128542
DEA,9,5000,25,0,0,12345,109318,5.708378
DEA,9,5000,25,0,0,22345,104278,5.645028
DEA,9,5000,25,0,0,32345,111628,5.746716
DEA,9,5000,25,0,0,42345,107981,6.079694
DEA,9,5000,25,0,0,52345,109833,5.812895
HDEA,9,5000,25,20,3,12345,104770,6.00862
HDEA,9,5000,25,20,3,22345,107085,5.833122
HDEA,9,5000,25,20,3,32345,102586,5.69398
HDEA,9,5000,25,20,3,42345,104036,5.736405
HDEA,9,5000,25,20,3,52345,107160,5.708029
MOVING_HDEA,9,5000,25,20,3,12345,105555,6.004234
MOVING_HDEA,9,5000,25,20,3,22345,107898,6.091456
MOVING_HDEA,9,5000,25,20,3,32345,104960,6.008192
MOVING_HDEA,9,5000,25,20,3,42345,108827,5.95257
MOVING_HDEA,9,5000,25,20,3,52345,107545,6.012407
