algorithm,nproc,mode,seed,time_budget_sec,iteration_budget,best_length,elapsed_sec
SCRATCH_NN_2OPT,1,serial,12345,1.000000,80,52755,1.019000
SCRATCH_NN_2OPT,4,mpi,12345,1.000000,80,52564,1.012000
SCRATCH_NN_2OPT,1,serial,22345,1.000000,80,53070,1.006000
SCRATCH_NN_2OPT,4,mpi,22345,1.000000,80,52639,1.008000
SCRATCH_NN_2OPT,1,serial,32345,1.000000,80,52820,1.006000
SCRATCH_NN_2OPT,4,mpi,32345,1.000000,80,52528,1.011000
SCRATCH_GREEDY_2OPT,1,serial,12345,1.000000,80,54762,1.085000
SCRATCH_GREEDY_2OPT,4,mpi,12345,1.000000,80,53909,1.113000
SCRATCH_GREEDY_2OPT,1,serial,22345,1.000000,80,54333,1.067000
SCRATCH_GREEDY_2OPT,4,mpi,22345,1.000000,80,53473,1.066000
SCRATCH_GREEDY_2OPT,1,serial,32345,1.000000,80,54512,1.039000
SCRATCH_GREEDY_2OPT,4,mpi,32345,1.000000,80,54483,1.093000
SCRATCH_ILS_2OPT,1,serial,12345,1.000000,80,53845,0.836000
SCRATCH_ILS_2OPT,4,mpi,12345,1.000000,80,52130,1.012000
SCRATCH_ILS_2OPT,1,serial,22345,1.000000,80,53876,0.942000
SCRATCH_ILS_2OPT,4,mpi,22345,1.000000,80,52585,1.088000
SCRATCH_ILS_2OPT,1,serial,32345,1.000000,80,52666,0.952000
SCRATCH_ILS_2OPT,4,mpi,32345,1.000000,80,52706,1.075000
