algorithm,nproc,mode,seed,time_budget_sec,iteration_budget,best_length,elapsed_sec
SCRATCH_ILS_2OPT,1,serial,12345,2.000000,180,52594,1.980000
SCRATCH_ILS_2OPT,1,serial,22345,2.000000,180,52800,2.000000
SCRATCH_ILS_2OPT,1,serial,32345,2.000000,180,52448,2.001000
SCRATCH_ILS_2OPT,1,serial,42345,2.000000,180,52973,2.008000
SCRATCH_ILS_2OPT,1,serial,52345,2.000000,180,52055,1.801000
SCRATCH_ILS_2OPT,1,serial,62345,2.000000,180,52651,2.002000
SCRATCH_ILS_2OPT,1,serial,72345,2.000000,180,52353,2.001000
SCRATCH_ILS_2OPT,1,serial,82345,2.000000,180,52466,2.004000
SCRATCH_ILS_2OPT,1,serial,92345,2.000000,180,52940,2.001000
SCRATCH_ILS_2OPT,1,serial,102345,2.000000,180,52834,2.004000
SCRATCH_ILS_2OPT,2,mpi,12345,2.000000,180,51918,2.083000
SCRATCH_ILS_2OPT,2,mpi,22345,2.000000,180,52666,2.009000
SCRATCH_ILS_2OPT,2,mpi,32345,2.000000,180,51995,2.005000
SCRATCH_ILS_2OPT,2,mpi,42345,2.000000,180,52684,2.021000
SCRATCH_ILS_2OPT,2,mpi,52345,2.000000,180,51997,2.051000
SCRATCH_ILS_2OPT,2,mpi,62345,2.000000,180,51843,2.004000
SCRATCH_ILS_2OPT,2,mpi,72345,2.000000,180,52095,2.032000
SCRATCH_ILS_2OPT,2,mpi,82345,2.000000,180,52144,2.007000
SCRATCH_ILS_2OPT,2,mpi,92345,2.000000,180,52507,2.009000
SCRATCH_ILS_2OPT,2,mpi,102345,2.000000,180,52339,2.041000
SCRATCH_ILS_2OPT,4,mpi,12345,2.000000,180,51949,2.076000
SCRATCH_ILS_2OPT,4,mpi,22345,2.000000,180,52168,2.066000
SCRATCH_ILS_2OPT,4,mpi,32345,2.000000,180,52114,2.067000
SCRATCH_ILS_2OPT,4,mpi,42345,2.000000,180,52684,2.095000
SCRATCH_ILS_2OPT,4,mpi,52345,2.000000,180,51997,2.090000
SCRATCH_ILS_2OPT,4,mpi,62345,2.000000,180,51843,2.089000
SCRATCH_ILS_2OPT,4,mpi,72345,2.000000,180,52219,2.091000
SCRATCH_ILS_2OPT,4,mpi,82345,2.000000,180,52144,2.090000
SCRATCH_ILS_2OPT,4,mpi,92345,2.000000,180,52288,2.100000
SCRATCH_ILS_2OPT,4,mpi,102345,2.000000,180,52294,2.093000
SCRATCH_ILS_2OPT,6,mpi,12345,2.000000,180,51977,2.079000
SCRATCH_ILS_2OPT,6,mpi,22345,2.000000,180,52168,2.100000
SCRATCH_ILS_2OPT,6,mpi,32345,2.000000,180,52252,2.047000
SCRATCH_ILS_2OPT,6,mpi,42345,2.000000,180,52079,2.035000
SCRATCH_ILS_2OPT,6,mpi,52345,2.000000,180,52010,2.030000
SCRATCH_ILS_2OPT,6,mpi,62345,2.000000,180,51843,2.079000
SCRATCH_ILS_2OPT,6,mpi,72345,2.000000,180,52219,2.015000
SCRATCH_ILS_2OPT,6,mpi,82345,2.000000,180,52259,2.055000
SCRATCH_ILS_2OPT,6,mpi,92345,2.000000,180,52288,2.099000
SCRATCH_ILS_2OPT,6,mpi,102345,2.000000,180,52511,2.080000
